Revista;Publisher;DOI;Proprietary Identifier;Print ISSN;Online ISSN;10-2018;11-2018;12-2018;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Minerals Engineering;Elsevier; ;MINE;0892-6875;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Nefrología;Elsevier; ;NEFRO;0211-6995;1989-2284;0;2;4;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Neurobiology of Disease;Elsevier; ;YNBDI;0969-9961;1095-953X;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
NeuroImage;Elsevier; ;YNIMG;1053-8119;1095-9572;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
New Ideas in Psychology;Elsevier; ;NIP;0732-118X;;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Nonlinear Analysis: Real World Applications;Elsevier; ;NONRWA;1468-1218;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Norteamérica;Elsevier; ;NAM;1870-3550;2448-7228;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Nurse Education in Practice;Elsevier; ;YNEPR;1471-5953;;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Nutrition, Metabolism and Cardiovascular Diseases;Elsevier; ;NUMECD;0939-4753;1590-3729;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Operations Research Perspectives;Elsevier; ;ORP;2214-7160;2214-7160;0;2;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Optical Fiber Technology;Elsevier; ;YOFTE;1068-5200;;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Parkinsonism & Related Disorders;Elsevier; ;PRD;1353-8020;1873-5126;0;1;1;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Patient Education and Counseling;Elsevier; ;PEC;0738-3991;1873-5134;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Pediatría;Elsevier; ;RCPE;0120-4912;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Pediatric Dental Journal;Elsevier; ;PDJ;0917-2394;1880-3997;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Pediatrics & Neonatology;Elsevier; ;PEDN;1875-9572;;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Pharmacological Reports;Elsevier; ;PHAREP;1734-1140;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Physica C: Superconductivity and its Applications;Elsevier; ;PHYSC;0921-4534;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Physics of the Dark Universe;Elsevier; ;DARK;2212-6864;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Physiological Plant Pathology;Elsevier; ;YPMPP;0048-4059;;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Phytochemistry Letters;Elsevier; ;PHYTOL;1874-3900;1876-7486;0;1;1;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Plant Diversity;Elsevier; ;PLD;2468-2659;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Polar Science;Elsevier; ;POLAR;1873-9652;;0;6;1;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Porto Biomedical Journal;Elsevier; ;PBJ;2444-8664;;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Powder Technology;Elsevier; ;PTEC;0032-5910;1873-328X;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Preventive Medicine;Elsevier; ;YPMED;0091-7435;1096-0260;0;1;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Procedia IUTAM;Elsevier; ;PIUTAM;2210-9838;2210-9838;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Procedia Materials Science;Elsevier; ;MSPRO;2211-8128;2211-8128;0;0;1;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Process Biochemistry;Elsevier; ;PRBI;1359-5113;;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Progress in Materials Science;Elsevier; ;JPMS;0079-6425;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Progress in Neuro-Psychopharmacology and Biological Psychiatry;Elsevier; ;PNP;0278-5846;1878-4216;0;2;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Progress in Neurobiology;Elsevier; ;PRONEU;0301-0082;1873-5118;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Progress in Retinal and Eye Research;Elsevier; ;JPRR;1350-9462;1873-1635;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Psychologie Française;Elsevier; ;PSFR;0033-2984;;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Psychosocial Intervention;Elsevier; ;PSI;1132-0559;2173-4712;0;0;1;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Radiotherapy and Oncology;Elsevier; ;RADION;0167-8140;1879-0887;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
RAI Revista de Administração e Inovação;Elsevier; ;RAI;1809-2039;1809-2039;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
REGE - Revista de Gestão;Elsevier; ;REGE;1809-2276;;0;1;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Regional Science and Urban Economics;Elsevier; ;REGEC;0166-0462;1879-2308;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Rehabilitación;Elsevier; ;RH;0048-7120;1578-3278;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Research in Veterinary Science;Elsevier; ;YRVSC;0034-5288;1532-2661;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Resource and Energy Economics;Elsevier; ;RESEN;0928-7655;;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Argentina de Endocrinología y Metabolismo;Elsevier; ;RAEM;0326-4610;;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Brasileira de Farmacognosia;Elsevier; ;BJP;0102-695X;;0;7;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Chilena de Ortopedia y Traumatología;Elsevier; ;RCHOT;0716-4548;;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Colombiana de Psiquiatría (English ed.);Elsevier; ;RCPENG;2530-3120;;0;3;1;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista de Administração;Elsevier; ;RAUSPM;0080-2107;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista de Psicología del Trabajo y de las Organizaciones;Elsevier; ;RPTO;1576-5962;2174-0534;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Española de Cirugía Oral y Maxilofacial;Elsevier; ;MAXILO;1130-0558;;0;0;1;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Española de Medicina Nuclear e Imagen Molecular (English Edition);Elsevier; ;REMNIE;2253-8089;;0;1;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Mexicana de Opinión Pública;Elsevier; ;RMOP;1870-7300;;0;0;1;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Mexicana de Trastornos Alimentarios;Elsevier; ;RMTA;2007-1523;2007-1523;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revue Européenne de Psychologie Appliquée;Elsevier; ;ERAP;1162-9088;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Seminars in Hematology;Elsevier; ;YSHEM;0037-1963;1532-8686;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Seminars in Immunology;Elsevier; ;YSMIM;1044-5323;1096-3618;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Seminars in Pediatric Surgery;Elsevier; ;YSPSU;1055-8586;1532-9453;0;47;10;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Separation and Purification Technology;Elsevier; ;SEPPUR;1383-5866;1873-3794;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
She Ji: The Journal of Design, Economics, and Innovation;Elsevier; ;SHEJI;2405-8726;2405-8718;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Signal Processing: Image Communication;Elsevier; ;IMAGE;0923-5965;;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Sleep Medicine Reviews;Elsevier; ;YSMRV;1087-0792;1532-2955;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Small Ruminant Research;Elsevier; ;RUMIN;0921-4488;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Socio-Economic Planning Sciences;Elsevier; ;SEPS;0038-0121;;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Spatial and Spatio-temporal Epidemiology;Elsevier; ;SSTE;1877-5845;1877-5853;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Spine Deformity;Elsevier; ;JSPD;2212-134X;2212-1358;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Sport Management Review;Elsevier; ;SMR;1441-3523;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Statistics & Probability Letters;Elsevier; ;STAPRO;0167-7152;;0;1;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Studies in Educational Evaluation;Elsevier; ;JSEE;0191-491X;;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Suma de Negocios;Elsevier; ;SUMNEG;2215-910X;2215-910X;0;3;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Surgical Neurology;Elsevier; ;WNEU;0090-3019;;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Sustainable Chemistry and Pharmacy;Elsevier; ;SCP;2352-5541;2352-5541;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Sustainable Energy, Grids and Networks;Elsevier; ;SEGAN;2352-4677;2352-4677;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Tanta Dental Journal;Elsevier; ;TDJ;1687-8574;;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Tetrahedron;Elsevier; ;TET;0040-4020;1464-5416;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The American Journal of Cardiology;Elsevier; ;AJC;0002-9149;1879-1913;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The American Journal of Medicine;Elsevier; ;AJM;0002-9343;1555-7162;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Extractive Industries and Society;Elsevier; ;EXIS;2214-790X;;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Internet and Higher Education;Elsevier; ;INTHIG;1096-7516;;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Journal of Arthroplasty;Elsevier; ;YARTH;0883-5403;1532-8406;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Journal of Foot and Ankle Surgery;Elsevier; ;YJFAS;1067-2516;1542-2224;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Journal of Pain;Elsevier; ;YJPAI;1526-5900;1528-8447;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Journal of Pediatrics;Elsevier; ;YMPD;0022-3476;1097-6833;0;1;1;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Journal of Strategic Information Systems;Elsevier; ;STRINF;0963-8687;;0;0;1;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Knee;Elsevier; ;THEKNE;0968-0160;1873-5800;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Lancet Diabetes & Endocrinology;Elsevier; ;LANDIA;2213-8587;2213-8595;0;3;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Toxicology and Applied Pharmacology;Elsevier; ;YTAAP;0041-008X;1096-0333;0;0;5;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Toxicology Reports;Elsevier; ;TOXREP;2214-7500;2214-7500;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Trends in Immunology;Elsevier; ;TREIMM;1471-4906;1471-4981;3;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Trends in Neuroscience and Education;Elsevier; ;TINE;2211-9493;;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Tuberculosis;Elsevier; ;YTUBE;1472-9792;1873-281X;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Urology;Elsevier; ;URL;0090-4295;1527-9995;0;0;1;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Utilities Policy;Elsevier; ;JUIP;0957-1787;;0;0;2;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Vascular Pharmacology;Elsevier; ;VPH;1537-1891;1879-3649;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Virology;Elsevier; ;YVIRO;0042-6822;1096-0341;0;2;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Visual Journal of Emergency Medicine;Elsevier; ;VISJ;2405-4690;2405-4690;0;0;0;0;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Women and Birth;Elsevier; ;WOMBI;1871-5192;1878-1799;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Women's Health Issues;Elsevier; ;WHI;1049-3867;1878-4321;0;0;0;1;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Zeitschrift für Pflanzenphysiologie;Elsevier; ;JPLPH;0044-328X;0044-328X;0;0;0;0;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Acta Biomaterialia;Elsevier; ;ACTBIO;1742-7061;1878-7568;0;2;1;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Acta Pharmaceutica Sinica B;Elsevier; ;APSB;2211-3835;2211-3843;0;2;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ad Hoc Networks;Elsevier; ;ADHOC;1570-8705;;0;0;5;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Allergology International;Elsevier; ;ALIT;1323-8930;1440-1592;0;6;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Alzheimer's & Dementia: Translational Research & Clinical Interventions;Elsevier; ;TRCI;2352-8737;2352-8737;0;2;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
American Journal of Infection Control;Elsevier; ;YMIC;0196-6553;1527-3296;0;2;3;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Anaesthesia & Intensive Care Medicine;Elsevier; ;MPAIC;1472-0299;1878-7584;0;1;2;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Analytical Chemistry Research;Elsevier; ;;2214-1812;2214-1812;0;4;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Annales de Paléontologie;Elsevier; ;ANNPAL;0753-3969;;0;2;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Annals of Global Health;Elsevier; ;AOGH;2214-9996;2214-9996;0;2;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Applied Animal Behaviour Science;Elsevier; ;APPLAN;0168-1591;;0;0;1;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Applied Materials Today;Elsevier; ;APMT;2352-9407;;0;0;2;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Archives of Clinical Neuropsychology;Elsevier; ;;0887-6177;;0;1;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Archives of Psychiatric Nursing;Elsevier; ;YAPNU;0883-9417;;0;1;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Asia Pacific Management Review;Elsevier; ;APMRV;1029-3132;;0;0;1;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Behavior Therapy;Elsevier; ;BETH;0005-7894;1878-1888;0;1;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Behavioural Processes;Elsevier; ;BEPROC;0376-6357;1872-8308;0;0;2;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Best Practice & Research Clinical Endocrinology & Metabolism;Elsevier; ;YBEEM;1521-690X;1532-1908;0;0;1;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms;Elsevier; ;BBAGRM;1874-9399;1876-4320;0;0;2;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics;Elsevier; ;BBAPAP;1570-9639;1878-1454;0;0;1;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Biological Control;Elsevier; ;YBCON;1049-9644;;0;1;4;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Biomedical and Environmental Sciences;Biomedical and Environmental Sciences; ;BES;0895-3988;;0;2;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Borsa Istanbul Review;Elsevier; ;BIR;2214-8450;2214-8469;0;0;1;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Brazilian Journal of Physical Therapy;Elsevier; ;BJPT;1413-3555;1809-9246;0;2;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Canadian Journal of Diabetes;Elsevier; ;JCJD;1499-2671;2352-3840;0;2;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Cancer Epidemiology;Elsevier; ;CANEP;1877-7821;1877-783X;0;4;2;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Cell Metabolism;Elsevier; ;CMET;1550-4131;1932-7420;0;3;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Central Bank Review;Elsevier; ;CBREV;1303-0701;2524-1699;0;3;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ceramics International;Elsevier; ;CERI;0272-8842;;0;1;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Chemometrics and Intelligent Laboratory Systems;Elsevier; ;CHEMOM;0169-7439;1873-3239;0;3;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
CIRP Annals;Elsevier; ;CIRP;0007-8506;1726-0604;0;2;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Clínica e Investigación en Arteriosclerosis (English Edition);Elsevier; ;ARTERE;2529-9123;;0;1;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Clinical Microbiology Newsletter;Elsevier; ;CMN;0196-4399;1873-4391;0;0;4;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Clinics and Research in Hepatology and Gastroenterology;Elsevier; ;CLINRE;2210-7401;2210-741X;0;1;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology;Elsevier; ;CBB;1096-4959;1879-1107;0;2;2;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Composites Part B: Engineering;Elsevier; ;JCOMB;1359-8368;;0;0;4;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Computational Materials Science;Elsevier; ;COMMAT;0927-0256;;0;0;2;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Computer Law & Security Review;Elsevier; ;CLSR;0267-3649;;0;0;1;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Computer Networks;Elsevier; ;COMPNW;1389-1286;;0;0;4;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Computers and Composition;Elsevier; ;COCOMP;8755-4615;;0;0;1;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Contemporary Educational Psychology;Elsevier; ;YCEPS;0361-476X;1090-2384;0;0;1;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Continuing Education in Anaesthesia Critical Care & Pain;Elsevier; ;BJAE;1743-1816;1743-1824;0;2;0;0;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
